2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0, 2385, 0
16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512, 16, 512
220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512, 220, 512
455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512, 455, 512
720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512, 720, 512
890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512, 890, 512
1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512, 1257, 512
1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512, 1565, 512
1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512, 1571, 512
1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512, 1904, 512
